,Site,Lat,Lon,Elev,Climate,continent,country_code
55162,Windhoek-NUST,-22.56591,17.07304,1676.0,BSh,Africa,NA
55164,EPA-Res_Triangle_Pk,35.88,-78.87,109.0,Cfa,North America,US
55201,Zeebrugge-MOW1,51.362,3.12,15.0,Cfb,Europe,BE
55212,NEON_WREF,45.820488,-121.951912,407.0,Csb,North America,US
55288,Helgoland,54.177861,7.887361,33.0,Cfb,Europe,DE
55364,Kandahar,31.508611,65.847778,1007.0,BSh,Asia,AF
55396,DRAGON_KampungBharu,5.341589,100.463158,10.0,Af,Asia,MY
55397,Halifax,44.638,-63.594,65.0,Dfb,North America,CA
55533,Bure_OPE,48.5625,5.505,393.0,Cfb,Europe,FR
55587,Malaga,36.715242,-4.478153,56.0,Csa,Europe,ES
55776,NEON_DEJU,63.881119,-145.751361,529.0,Dsc,North America,US
55779,Ouagadougou,12.42413,-1.48723,302.0,BSh,Africa,BF
57229,Laegeren,47.478349,8.364352,763.0,Cfb,Europe,CH
57249,Le_Fauga,43.38423,1.2846,193.0,Cfb,Europe,FR
57330,Qena_SVU,26.199924,32.747029,75.7,BWh,Africa,EG
57536,PNNL,46.34095,-119.2788,127.0,BWk,North America,US
57717,DRAGON_NIER,37.56893,126.63971,26.9,Dwa,Asia,KR
57827,Vienna_BOKU,48.237861,16.331611,266.0,Cfb,Europe,AT
57899,KAUST_Campus,22.304833,39.102833,11.2,BWh,Asia,SA
61690,Dhabi,24.480556,54.382778,15.0,BWh,Asia,AE
62379,Etosha_Pan,-19.175017,15.914383,1131.0,BSh,Africa,NA
62468,Bethlehem,-28.248333,28.333333,1709.0,Cwb,Africa,ZA
62494,Chinhae,35.1558,128.652433,69.0,Cwa,Asia,KR
62498,Cape_Romain,32.941,-79.6572,4.0,Cfa,North America,US
62505,Osaka,34.650933,135.590633,50.0,Cfa,Asia,JP
63336,Zvenigorod,55.695,36.775,200.0,Dfb,Europe,RU
63447,Thule,76.516102,-68.769001,225.0,ET,North America,GL
63450,DRAGON_Henties_4,-22.020278,14.345504,100.0,BWk,Africa,NA
63459,Alishan,23.50844,120.81341,2416.0,Cwa,Asia,TW
63463,UNC-Palmira,3.512295,-76.30761,1065.2,As,South America,CO
63466,DRAGON_Osaka-South,34.5435,135.503867,30.0,Cfa,Asia,JP
63506,MISR-JPL,34.199,-118.17439,367.0,Csb,North America,US
63528,Maricopa,33.069023,-111.972298,360.0,BWh,North America,US
63541,EPA-NCU,24.967533,121.185483,144.0,Cfa,Asia,TW
64604,Barcelona,41.38925,2.11206,125.0,Cfa,Europe,ES
64906,NEON_SERC,38.890117,-76.560017,9.7536,Cfa,North America,US
64929,CAMPO_VERDE,-15.561667,-55.175,745.0,Aw,South America,BR
64934,Apulian_Tavoliere,41.46084,15.5016,90.0,Csa,Europe,IT
64986,Gosan_SNU,33.292222,126.161667,72.0,Cfa,Asia,KR
65535,Bucharest_Inoe,44.348311,26.02805,89.0,Cfa,Europe,RO
65947,DRAGON_Essex,39.310943,-76.474486,12.0,Cfa,North America,US
65966,Boyd_County_MS,38.427461,-82.700033,207.0,Cfa,North America,US
65976,Mongu_Inn,-15.266667,23.134333,1040.0,Aw,Africa,ZM
67632,Mwinilunga,-11.74,24.430667,1375.0,Cwa,Africa,ZM
67738,Kolimbari,35.533333,23.783333,22.0,Csa,Europe,GR
67743,Nairobi,-1.338882,36.8653,1650.0,Cwb,Africa,KE
67744,Rossfeld,48.335139,7.62475,167.0,Cfb,Europe,FR
67760,Tomsk_22,56.417,84.074,80.0,Dfc,Europe,RU
67925,DRAGON_NW_Harris_CO,30.039444,-95.673889,51.0,Cfa,North America,US
67926,Tahir,5.411,100.1967,37.0,Af,Asia,MY
67931,Cordoba-CETT,-31.524075,-64.463682,730.0,Cwa,South America,AR
67961,Realtor,43.48555,5.383817,125.0,Csa,Europe,FR
67968,Portglenone_MO,54.865,-6.457,64.0,Cfb,Europe,GB
67978,Kobe,34.72,135.291,20.0,Cfa,Asia,JP
67982,DRAGON_Parlier,36.59744,-119.50369,104.0,BSk,North America,US
67993,DRAGON_Takayama,36.252778,137.3045,1296.0,Dfa,Asia,JP
67995,Gwangju_GIST,35.228278,126.843139,52.0,Cfa,Asia,KR
69214,ATHENS-NOA,37.9721,23.718,130.0,Csa,Europe,GR
69672,SANTA_CRUZ_UTEPSA,-17.767325,-63.200961,432.0,Af,South America,BO
70242,Lochiel,49.028,-122.602,86.0,Cfb,North America,CA
70243,La_Parguera,17.97045,-67.045383,12.4,Am,North America,US
70546,Iasi_LOASL,47.193056,27.555556,175.0,Cfb,Europe,RO
70715,Monterey,36.59255,-121.854867,50.0,Csb,North America,US
70854,DRAGON_Beltsville,39.054091,-76.877491,53.0,Cfa,North America,US
70864,Sevilleta,34.354721,-106.885002,1477.0,BSk,North America,US
71019,Singapore,1.297667,103.780383,30.0,Af,Asia,SG
71434,Dunkerque,51.03535,2.368117,5.0,Cfb,Europe,FR
71723,DRAGON_Bakersfield,35.331506,-119.000008,50.0,BWh,North America,US
71738,BSRN_BAO_Boulder,40.045183,-105.006033,1604.0,BSk,North America,US
71769,Noto,37.334444,137.136944,200.0,Cfa,Asia,JP
72060,NEON_Harvard,42.5369,-72.172661,348.0,Dfb,North America,US
72108,Abu_Al_Bukhoosh,25.495,53.145833,24.5,BWh,nan,nan
72212,Santiago,-33.489633,-70.717033,510.0,Csb,South America,CL
72224,DRAGON_Hakuba,36.700556,137.864134,703.0,Dfc,Asia,JP
72226,Lunar_Lake,38.390083,-115.988383,1749.0,BSk,North America,US
72227,SSA_YJP_BOREAS,53.674999,-104.650002,490.0,Dfc,North America,CA
72231,Amazon_ATTO_Tower,-2.144117,-58.999867,210.0,Af,South America,BR
72263,Madrid,40.4519,-3.72395,680.0,BSk,Europe,ES
72364,Jambi,-1.632445,103.641563,30.0,Af,Asia,ID
72461,Resolute_Bay,74.705123,-94.969409,35.0,ET,North America,CA
72465,USM_Penang,5.35838,100.30231,51.0,Af,Asia,MY
72784,Pafos,34.71111,32.48333,10.0,Csa,Asia,CY
72793,Bujumbura,-3.38,29.383833,863.0,Aw,Africa,BI
72974,Lake_Okeechobee_N,27.139117,-80.788803,10.0,Cfa,North America,US
72976,Burjassot,39.507,-0.4202,104.0,BSk,Europe,ES
